owner,name,stars,url
freeCodeCamp,freeCodeCamp,415159,https://github.com/freeCodeCamp/freeCodeCamp
codecrafters-io,build-your-own-x,368058,https://github.com/codecrafters-io/build-your-own-x
sindresorhus,awesome,354636,https://github.com/sindresorhus/awesome
EbookFoundation,free-programming-books,354436,https://github.com/EbookFoundation/free-programming-books
public-apis,public-apis,334900,https://github.com/public-apis/public-apis
jwasham,coding-interview-university,313976,https://github.com/jwasham/coding-interview-university
kamranahmedse,developer-roadmap,313142,https://github.com/kamranahmedse/developer-roadmap
donnemartin,system-design-primer,295451,https://github.com/donnemartin/system-design-primer
996icu,996.ICU,270490,https://github.com/996icu/996.ICU
vinta,awesome-python,239285,https://github.com/vinta/awesome-python
facebook,react,234135,https://github.com/facebook/react
awesome-selfhosted,awesome-selfhosted,223404,https://github.com/awesome-selfhosted/awesome-selfhosted
practical-tutorials,project-based-learning,223348,https://github.com/practical-tutorials/project-based-learning
vuejs,vue,208655,https://github.com/vuejs/vue
TheAlgorithms,Python,199101,https://github.com/TheAlgorithms/Python
torvalds,linux,190951,https://github.com/torvalds/linux
trekhleb,javascript-algorithms,190840,https://github.com/trekhleb/javascript-algorithms
tensorflow,tensorflow,189051,https://github.com/tensorflow/tensorflow
getify,You-Dont-Know-JS,181605,https://github.com/getify/You-Dont-Know-JS
CyC2018,CS-Notes,179648,https://github.com/CyC2018/CS-Notes
freeCodeCamp,freeCodeCamp,415159,https://github.com/freeCodeCamp/freeCodeCamp
codecrafters-io,build-your-own-x,368058,https://github.com/codecrafters-io/build-your-own-x
sindresorhus,awesome,354637,https://github.com/sindresorhus/awesome
EbookFoundation,free-programming-books,354436,https://github.com/EbookFoundation/free-programming-books
public-apis,public-apis,334900,https://github.com/public-apis/public-apis
jwasham,coding-interview-university,313976,https://github.com/jwasham/coding-interview-university
kamranahmedse,developer-roadmap,313142,https://github.com/kamranahmedse/developer-roadmap
donnemartin,system-design-primer,295451,https://github.com/donnemartin/system-design-primer
996icu,996.ICU,270490,https://github.com/996icu/996.ICU
vinta,awesome-python,239285,https://github.com/vinta/awesome-python
facebook,react,234135,https://github.com/facebook/react
awesome-selfhosted,awesome-selfhosted,223404,https://github.com/awesome-selfhosted/awesome-selfhosted
practical-tutorials,project-based-learning,223348,https://github.com/practical-tutorials/project-based-learning
vuejs,vue,208655,https://github.com/vuejs/vue
TheAlgorithms,Python,199101,https://github.com/TheAlgorithms/Python
torvalds,linux,190951,https://github.com/torvalds/linux
trekhleb,javascript-algorithms,190840,https://github.com/trekhleb/javascript-algorithms
tensorflow,tensorflow,189051,https://github.com/tensorflow/tensorflow
getify,You-Dont-Know-JS,181605,https://github.com/getify/You-Dont-Know-JS
CyC2018,CS-Notes,179648,https://github.com/CyC2018/CS-Notes
ossu,computer-science,177812,https://github.com/ossu/computer-science
ohmyzsh,ohmyzsh,177377,https://github.com/ohmyzsh/ohmyzsh
Significant-Gravitas,AutoGPT,174156,https://github.com/Significant-Gravitas/AutoGPT
twbs,bootstrap,171885,https://github.com/twbs/bootstrap
flutter,flutter,169550,https://github.com/flutter/flutter
microsoft,vscode,169547,https://github.com/microsoft/vscode
github,gitignore,165493,https://github.com/github/gitignore
jackfrued,Python-100-Days,163501,https://github.com/jackfrued/Python-100-Days
trimstray,the-book-of-secret-knowledge,162390,https://github.com/trimstray/the-book-of-secret-knowledge
jlevy,the-art-of-command-line,155422,https://github.com/jlevy/the-art-of-command-line
AUTOMATIC1111,stable-diffusion-webui,150661,https://github.com/AUTOMATIC1111/stable-diffusion-webui
Snailclimb,JavaGuide,149031,https://github.com/Snailclimb/JavaGuide
airbnb,javascript,146462,https://github.com/airbnb/javascript
huggingface,transformers,142432,https://github.com/huggingface/transformers
avelino,awesome-go,141201,https://github.com/avelino/awesome-go
ollama,ollama,135996,https://github.com/ollama/ollama
ytdl-org,youtube-dl,134969,https://github.com/ytdl-org/youtube-dl
vercel,next.js,130812,https://github.com/vercel/next.js
labuladong,fucking-algorithm,127458,https://github.com/labuladong/fucking-algorithm
golang,go,126975,https://github.com/golang/go
yangshun,tech-interview-handbook,124959,https://github.com/yangshun/tech-interview-handbook
Chalarangelo,30-seconds-of-code,123281,https://github.com/Chalarangelo/30-seconds-of-code
f,awesome-chatgpt-prompts,122564,https://github.com/f/awesome-chatgpt-prompts
facebook,react-native,121381,https://github.com/facebook/react-native
Genymobile,scrcpy,120109,https://github.com/Genymobile/scrcpy
microsoft,PowerToys,116945,https://github.com/microsoft/PowerToys
electron,electron,116218,https://github.com/electron/electron
kubernetes,kubernetes,114178,https://github.com/kubernetes/kubernetes
justjavac,free-programming-books-zh_CN,113251,https://github.com/justjavac/free-programming-books-zh_CN
krahets,hello-algo,111260,https://github.com/krahets/hello-algo
nodejs,node,110459,https://github.com/nodejs/node
d3,d3,110263,https://github.com/d3/d3
axios,axios,106632,https://github.com/axios/axios
yt-dlp,yt-dlp,106552,https://github.com/yt-dlp/yt-dlp
mrdoob,three.js,105481,https://github.com/mrdoob/three.js
langchain-ai,langchain,104981,https://github.com/langchain-ai/langchain
microsoft,TypeScript,103835,https://github.com/microsoft/TypeScript
facebook,create-react-app,103135,https://github.com/facebook/create-react-app
rust-lang,rust,102481,https://github.com/rust-lang/rust
denoland,deno,102474,https://github.com/denoland/deno
goldbergyoni,nodebestpractices,102246,https://github.com/goldbergyoni/nodebestpractices
microsoft,terminal,97603,https://github.com/microsoft/terminal
angular,angular,97416,https://github.com/angular/angular
excalidraw,excalidraw,96597,https://github.com/excalidraw/excalidraw
godotengine,godot,95812,https://github.com/godotengine/godot
mui,material-ui,95261,https://github.com/mui/material-ui
deepseek-ai,DeepSeek-V3,95046,https://github.com/deepseek-ai/DeepSeek-V3
ant-design,ant-design,94159,https://github.com/ant-design/ant-design
ripienaar,free-for-dev,93319,https://github.com/ripienaar/free-for-dev
ryanmcdermott,clean-code-javascript,92728,https://github.com/ryanmcdermott/clean-code-javascript
fatedier,frp,92267,https://github.com/fatedier/frp
papers-we-love,papers-we-love,92144,https://github.com/papers-we-love/papers-we-love
iptv-org,iptv,91849,https://github.com/iptv-org/iptv
nvbn,thefuck,91314,https://github.com/nvbn/thefuck
iluwatar,java-design-patterns,91186,https://github.com/iluwatar/java-design-patterns
tauri-apps,tauri,91175,https://github.com/tauri-apps/tauri
Hack-with-Github,Awesome-Hacking,90886,https://github.com/Hack-with-Github/Awesome-Hacking
puppeteer,puppeteer,90267,https://github.com/puppeteer/puppeteer
langgenius,dify,89295,https://github.com/langgenius/dify
PanJiaChen,vue-element-admin,89055,https://github.com/PanJiaChen/vue-element-admin
pytorch,pytorch,88641,https://github.com/pytorch/pytorch
neovim,neovim,88376,https://github.com/neovim/neovim
open-webui,open-webui,87605,https://github.com/open-webui/open-webui
microsoft,Web-Dev-For-Beginners,87109,https://github.com/microsoft/Web-Dev-For-Beginners
tailwindlabs,tailwindcss,86878,https://github.com/tailwindlabs/tailwindcss
mtdvio,every-programmer-should-know,86767,https://github.com/mtdvio/every-programmer-should-know
storybookjs,storybook,86296,https://github.com/storybookjs/storybook
rustdesk,rustdesk,86124,https://github.com/rustdesk/rustdesk
shadcn-ui,ui,84734,https://github.com/shadcn-ui/ui
nvm-sh,nvm,83697,https://github.com/nvm-sh/nvm
django,django,83027,https://github.com/django/django
fastapi,fastapi,82870,https://github.com/fastapi/fastapi
florinpop17,app-ideas,82819,https://github.com/florinpop17/app-ideas
bitcoin,bitcoin,82760,https://github.com/bitcoin/bitcoin
ChatGPTNextWeb,NextChat,82472,https://github.com/ChatGPTNextWeb/NextChat
sveltejs,svelte,82100,https://github.com/sveltejs/svelte
jaywcjlove,awesome-mac,81669,https://github.com/jaywcjlove/awesome-mac
animate-css,animate.css,81512,https://github.com/animate-css/animate.css
opencv,opencv,81499,https://github.com/opencv/opencv
gothinkster,realworld,81395,https://github.com/gothinkster/realworld
gin-gonic,gin,81304,https://github.com/gin-gonic/gin
laravel,laravel,80490,https://github.com/laravel/laravel
supabase,supabase,80357,https://github.com/supabase/supabase
macrozheng,mall,79758,https://github.com/macrozheng/mall
openai,whisper,79403,https://github.com/openai/whisper
gohugoio,hugo,79253,https://github.com/gohugoio/hugo
tonsky,FiraCode,78614,https://github.com/tonsky/FiraCode
home-assistant,core,77864,https://github.com/home-assistant/core
mermaid-js,mermaid,77701,https://github.com/mermaid-js/mermaid
microsoft,generative-ai-for-beginners,77694,https://github.com/microsoft/generative-ai-for-beginners
ggml-org,llama.cpp,77652,https://github.com/ggml-org/llama.cpp
2dust,v2rayN,77619,https://github.com/2dust/v2rayN
tensorflow,models,77477,https://github.com/tensorflow/models
doocs,advanced-java,77366,https://github.com/doocs/advanced-java
oven-sh,bun,77257,https://github.com/oven-sh/bun
spring-projects,spring-boot,76710,https://github.com/spring-projects/spring-boot
3b1b,manim,76559,https://github.com/3b1b/manim
FortAwesome,Font-Awesome,74882,https://github.com/FortAwesome/Font-Awesome
n8n-io,n8n,74776,https://github.com/n8n-io/n8n
DopplerHQ,awesome-interview-questions,74161,https://github.com/DopplerHQ/awesome-interview-questions
netdata,netdata,73975,https://github.com/netdata/netdata
typicode,json-server,73944,https://github.com/typicode/json-server
comfyanonymous,ComfyUI,73365,https://github.com/comfyanonymous/ComfyUI
bregman-arie,devops-exercises,73059,https://github.com/bregman-arie/devops-exercises
nomic-ai,gpt4all,72997,https://github.com/nomic-ai/gpt4all
MunGell,awesome-for-beginners,72900,https://github.com/MunGell/awesome-for-beginners
vuejs,awesome-vue,72744,https://github.com/vuejs/awesome-vue
anuraghazra,github-readme-stats,72349,https://github.com/anuraghazra/github-readme-stats
elastic,elasticsearch,72247,https://github.com/elastic/elasticsearch
vitejs,vite,71882,https://github.com/vitejs/vite
microsoft,ML-For-Beginners,71699,https://github.com/microsoft/ML-For-Beginners
microsoft,playwright,71288,https://github.com/microsoft/playwright
hoppscotch,hoppscotch,70814,https://github.com/hoppscotch/hoppscotch
coder,code-server,70611,https://github.com/coder/code-server
nestjs,nest,70299,https://github.com/nestjs/nest
Anduin2017,HowToCook,70125,https://github.com/Anduin2017/HowToCook
thedaviddias,Front-End-Checklist,69762,https://github.com/thedaviddias/Front-End-Checklist
moby,moby,69499,https://github.com/moby/moby
pallets,flask,69237,https://github.com/pallets/flask
junegunn,fzf,69182,https://github.com/junegunn/fzf
syncthing,syncthing,69136,https://github.com/syncthing/syncthing
hakimel,reveal.js,68638,https://github.com/hakimel/reveal.js
redis,redis,68572,https://github.com/redis/redis
base,node,68524,https://github.com/base/node
Developer-Y,cs-video-courses,68453,https://github.com/Developer-Y/cs-video-courses
swiftlang,swift,68306,https://github.com/swiftlang/swift
binary-husky,gpt_academic,68091,https://github.com/binary-husky/gpt_academic
d2l-ai,d2l-zh,68083,https://github.com/d2l-ai/d2l-zh
enaqx,awesome-react,67514,https://github.com/enaqx/awesome-react
josephmisiti,awesome-machine-learning,67463,https://github.com/josephmisiti/awesome-machine-learning
grafana,grafana,67361,https://github.com/grafana/grafana
protocolbuffers,protobuf,67039,https://github.com/protocolbuffers/protobuf
louislam,uptime-kuma,66758,https://github.com/louislam/uptime-kuma
expressjs,express,66676,https://github.com/expressjs/express
sdmg15,Best-websites-a-programmer-should-visit,66509,https://github.com/sdmg15/Best-websites-a-programmer-should-visit
python,cpython,66130,https://github.com/python/cpython
strapi,strapi,65982,https://github.com/strapi/strapi
tesseract-ocr,tesseract,65894,https://github.com/tesseract-ocr/tesseract
ventoy,Ventoy,65859,https://github.com/ventoy/Ventoy
chartjs,Chart.js,65633,https://github.com/chartjs/Chart.js
apache,superset,65435,https://github.com/apache/superset
webpack,webpack,65170,https://github.com/webpack/webpack
leonardomso,33-js-concepts,64983,https://github.com/leonardomso/33-js-concepts
ansible,ansible,64608,https://github.com/ansible/ansible
swisskyrepo,PayloadsAllTheThings,64407,https://github.com/swisskyrepo/PayloadsAllTheThings
ocornut,imgui,64392,https://github.com/ocornut/imgui
xtekky,gpt4free,63954,https://github.com/xtekky/gpt4free
lydiahallie,javascript-questions,63713,https://github.com/lydiahallie/javascript-questions
sherlock-project,sherlock,63448,https://github.com/sherlock-project/sherlock
obsproject,obs-studio,63287,https://github.com/obsproject/obs-studio
twitter,the-algorithm,63058,https://github.com/twitter/the-algorithm
immich-app,immich,62885,https://github.com/immich-app/immich
Eugeny,tabby,62851,https://github.com/Eugeny/tabby
keras-team,keras,62836,https://github.com/keras-team/keras
fffaraz,awesome-cpp,62791,https://github.com/fffaraz/awesome-cpp
awesomedata,awesome-public-datasets,62699,https://github.com/awesomedata/awesome-public-datasets
caddyserver,caddy,62665,https://github.com/caddyserver/caddy
openai,openai-cookbook,62637,https://github.com/openai/openai-cookbook
kelseyhightower,nocode,62385,https://github.com/kelseyhightower/nocode
FuelLabs,sway,62374,https://github.com/FuelLabs/sway